date,name,approximate
1948-01-01,年末年始休暇,False
1948-01-02,年末年始休暇,False
1948-01-03,年末年始休暇,False
1948-04-29,天皇誕生日,False
1948-05-03,憲法記念日,False
1948-05-05,こどもの日,False
1948-09-23,秋分の日,True
1948-11-03,文化の日,False
1948-11-23,勤労感謝の日,False
1948-12-29,年末年始休暇,False
1948-12-30,年末年始休暇,False
1948-12-31,年末年始休暇,False
1949-01-01,元日,False
1949-01-02,年末年始休暇,False
1949-01-03,年末年始休暇,False
1949-01-15,成人の日,False
1949-03-21,春分の日,True
1949-04-29,天皇誕生日,False
1949-05-03,憲法記念日,False
1949-05-05,こどもの日,False
1949-09-23,秋分の日,True
1949-11-03,文化の日,False
1949-11-23,勤労感謝の日,False
1949-12-29,年末年始休暇,False
1949-12-30,年末年始休暇,False
1949-12-31,年末年始休暇,False
1950-01-01,元日,False
1950-01-02,年末年始休暇,False
1950-01-03,年末年始休暇,False
1950-01-15,成人の日,False
1950-03-21,春分の日,True
1950-04-29,天皇誕生日,False
1950-05-03,憲法記念日,False
1950-05-05,こどもの日,False
1950-09-23,秋分の日,True
1950-11-03,文化の日,False
1950-11-23,勤労感謝の日,False
1950-12-29,年末年始休暇,False
1950-12-30,年末年始休暇,False
1950-12-31,年末年始休暇,False
1951-01-01,元日,False
1951-01-02,年末年始休暇,False
1951-01-03,年末年始休暇,False
1951-01-15,成人の日,False
1951-03-21,春分の日,True
1951-04-29,天皇誕生日,False
1951-05-03,憲法記念日,False
1951-05-05,こどもの日,False
1951-09-24,秋分の日,True
1951-11-03,文化の日,False
1951-11-23,勤労感謝の日,False
1951-12-29,年末年始休暇,False
1951-12-30,年末年始休暇,False
1951-12-31,年末年始休暇,False
1952-01-01,元日,False
1952-01-02,年末年始休暇,False
1952-01-03,年末年始休暇,False
1952-01-15,成人の日,False
1952-03-21,春分の日,True
1952-04-29,天皇誕生日,False
1952-05-03,憲法記念日,False
1952-05-05,こどもの日,False
1952-09-23,秋分の日,True
1952-11-03,文化の日,False
1952-11-23,勤労感謝の日,False
1952-12-29,年末年始休暇,False
1952-12-30,年末年始休暇,False
1952-12-31,年末年始休暇,False
1953-01-01,元日,False
1953-01-02,年末年始休暇,False
1953-01-03,年末年始休暇,False
1953-01-15,成人の日,False
1953-03-21,春分の日,True
1953-04-29,天皇誕生日,False
1953-05-03,憲法記念日,False
1953-05-05,こどもの日,False
1953-09-23,秋分の日,True
1953-11-03,文化の日,False
1953-11-23,勤労感謝の日,False
1953-12-29,年末年始休暇,False
1953-12-30,年末年始休暇,False
1953-12-31,年末年始休暇,False
1954-01-01,元日,False
1954-01-02,年末年始休暇,False
1954-01-03,年末年始休暇,False
1954-01-15,成人の日,False
1954-03-21,春分の日,True
1954-04-29,天皇誕生日,False
1954-05-03,憲法記念日,False
1954-05-05,こどもの日,False
1954-09-23,秋分の日,True
1954-11-03,文化の日,False
1954-11-23,勤労感謝の日,False
1954-12-29,年末年始休暇,False
1954-12-30,年末年始休暇,False
1954-12-31,年末年始休暇,False
1955-01-01,元日,False
1955-01-02,年末年始休暇,False
1955-01-03,年末年始休暇,False
1955-01-15,成人の日,False
1955-03-21,春分の日,True
1955-04-29,天皇誕生日,False
1955-05-03,憲法記念日,False
